descricao;link
Plano Mineiro de Desenvolvimento Integrado - PMDI 2019 - 2030;https://www.mg.gov.br/system/files/media/planejamento/documento_detalhado/2022/planejamento-e-orcamento/plano-mineiro-de-desenvolvimento-integrado-pmdi/pmdi_2019-2030_virtual2.pdf
Plano Mineiro de Desenvolvimento Integrado - PMDI 2011 - 2030;https://www.mg.gov.br/system/files/media/planejamento/documento_detalhado/2022/planejamento-e-orcamento/plano-mineiro-de-desenvolvimento-integrado-pmdi/pmdi_2011_2030.pdf
Plano Mineiro de Desenvolvimento Integrado - PMDI 2016 - 2027 (volume 1);https://www.mg.gov.br/system/files/media/planejamento/documento_detalhado/2022/planejamento-e-orcamento/plano-mineiro-de-desenvolvimento-integrado-pmdi/gov003717a_catalogo_servicos_seplag_volume_3.pdf
Plano Mineiro de Desenvolvimento Integrado - PMDI 2016 - 2027 (volume 2);https://www.mg.gov.br/system/files/media/planejamento/documento_detalhado/2022/planejamento-e-orcamento/plano-mineiro-de-desenvolvimento-integrado-pmdi/gov003717b_catalogo_pmdi_seplag_volume_2.pdf
Plano Mineiro de Desenvolvimento Integrado - PMDI 2016 - 2027 (volume 3);https://www.mg.gov.br/system/files/media/planejamento/documento_detalhado/2022/planejamento-e-orcamento/plano-mineiro-de-desenvolvimento-integrado-pmdi/gov003717a_catalogo_servicos_seplag_volume_3.pdf
Plano Mineiro de Desenvolvimento Integrado - PMDI 2007 - 2023;https://www.mg.gov.br/system/files/media/planejamento/documento_detalhado/2022/planejamento-e-orcamento/plano-mineiro-de-desenvolvimento-integrado-pmdi/pmdi_2007-2023_0.pdf
Plano Mineiro de Desenvolvimento Integrado - PMDI 2003 - 2020;https://www.mg.gov.br/system/files/media/planejamento/documento_detalhado/2022/planejamento-e-orcamento/plano-mineiro-de-desenvolvimento-integrado-pmdi/pmdi_2003_2020.pdf
Plano Mineiro de Desenvolvimento Integrado – PMDI 2000 - 2003;https://www.mg.gov.br/planejamento/documento/plano-mineiro-de-desenvolvimento-integrado-pmdi-2000-2003
